miRNA	Metabolite	coef_Endo2
hsa-miR-150-5p	1,5-AG / 1-deoxyglucose	-0.270453376
hsa-miR-224-5p	1,5-AG / 1-deoxyglucose	0.275965614
hsa-miR-29a-3p	1,5-AG / 1-deoxyglucose	-0.186749734
hsa-miR-3158-3p	1,5-AG / 1-deoxyglucose	0.388312183
hsa-miR-126-5p	10-HDoHE/14-HDoHE	0.818227618
hsa-miR-142-5p	10-HDoHE/14-HDoHE	0.351412421
hsa-miR-143-3p	10-HDoHE/14-HDoHE	0.155422493
hsa-miR-145-3p	10-HDoHE/14-HDoHE	0.797109334
hsa-miR-146a-5p	10-HDoHE/14-HDoHE	0.216955343
hsa-miR-16-5p	10-HDoHE/14-HDoHE	0.714891851
hsa-miR-181a-2-3p	10-HDoHE/14-HDoHE	0.855389668
hsa-miR-1843	10-HDoHE/14-HDoHE	0.960463756
hsa-miR-199a-3pXhsa-miR-199b-3p	10-HDoHE/14-HDoHE	0.852379493
hsa-miR-199a-5p	10-HDoHE/14-HDoHE	0.764371381
hsa-miR-19a-3p	10-HDoHE/14-HDoHE	0.935291823
hsa-let-7a-3p	Aspartic acid	1.540343659
hsa-let-7a-3p	acetaminophen	0.931220749
hsa-miR-21-3p	10-HDoHE/14-HDoHE	0.731492736
hsa-miR-214-3p	10-HDoHE/14-HDoHE	0.796853723
hsa-miR-21-5p	10-HDoHE/14-HDoHE	0.237513938
hsa-miR-24-3p	10-HDoHE/14-HDoHE	0.2292153
hsa-miR-27a-3p	10-HDoHE/14-HDoHE	0.450148806
hsa-miR-27b-3p	10-HDoHE/14-HDoHE	0.192350246
hsa-miR-28-5p	10-HDoHE/14-HDoHE	0.84139669
hsa-miR-29a-3p	10-HDoHE/14-HDoHE	0.644828843
hsa-miR-345-5p	10-HDoHE/14-HDoHE	0.949485385
hsa-miR-361-5p	10-HDoHE/14-HDoHE	0.959432499
hsa-miR-363-3p	10-HDoHE/14-HDoHE	0.490262311
hsa-miR-370-3p	10-HDoHE/14-HDoHE	0.835856594
hsa-miR-374a-5p	10-HDoHE/14-HDoHE	1.358730618
hsa-let-7a-3p	10-HDoHE/14-HDoHE	1.007326154
hsa-miR-421	10-HDoHE/14-HDoHE	1.352508219
hsa-miR-425-3p	10-HDoHE/14-HDoHE	0.879094369
hsa-miR-454-5p	10-HDoHE/14-HDoHE	0.882040034
hsa-miR-484	10-HDoHE/14-HDoHE	0.284637089
hsa-miR-486-5p	10-HDoHE/14-HDoHE	-0.29787001
hsa-miR-501-3p	10-HDoHE/14-HDoHE	-0.447428164
hsa-miR-628-3p	10-HDoHE/14-HDoHE	0.951362147
hsa-miR-652-3p	10-HDoHE/14-HDoHE	0.888516097
hsa-miR-664a-5p	10-HDoHE/14-HDoHE	0.934043485
hsa-let-7a-3p	2-Aminoadipic acid	-0.106007809
hsa-miR-6815-5p	10-HDoHE/14-HDoHE	-0.553354447
hsa-miR-744-5p	10-HDoHE/14-HDoHE	0.88856768
hsa-let-7a-3p	10-heptadecenoate	-0.557501444
hsa-let-7a-5p	10-heptadecenoate	-0.119388795
hsa-let-7b-5p	10-heptadecenoate	-0.121690572
hsa-let-7c-5p	10-heptadecenoate	-0.292290367
hsa-let-7d-5p	10-heptadecenoate	-0.229761723
hsa-let-7f-5p	10-heptadecenoate	-0.108457343
hsa-let-7i-5p	10-heptadecenoate	-0.136107864
hsa-miR-100-5p	10-heptadecenoate	0.209245158
hsa-miR-10399-3p	10-heptadecenoate	-0.209332096
hsa-miR-10399-5p	10-heptadecenoate	-0.382135334
hsa-miR-10527-5p	10-heptadecenoate	-0.307384333
hsa-miR-10a-5p	10-heptadecenoate	0.105216657
hsa-miR-10b-5p	10-heptadecenoate	0.174197397
hsa-miR-1180-3p	10-heptadecenoate	-0.513077461
hsa-miR-125a-3p	10-heptadecenoate	-0.534421006
hsa-miR-1287-5p	10-heptadecenoate	-0.338298805
hsa-miR-1292-5p	10-heptadecenoate	-0.462934194
hsa-miR-1307-3p	10-heptadecenoate	-0.360856074
hsa-miR-1468-5p	10-heptadecenoate	-0.361870765
hsa-mir-151b	10-heptadecenoate	-0.393930725
hsa-miR-15a-5p	10-heptadecenoate	-0.439506819
hsa-miR-15b-5p	10-heptadecenoate	-0.296123178
hsa-miR-185-5p	10-heptadecenoate	-0.251836399
hsa-miR-1908-5p	10-heptadecenoate	-0.681887095
hsa-miR-221-3p	10-heptadecenoate	-0.198901179
hsa-miR-30d-5p	10-heptadecenoate	-0.129283422
hsa-miR-30e-5p	10-heptadecenoate	-0.19404547
hsa-miR-323a-3p	10-heptadecenoate	-0.222586521
hsa-miR-323b-3p	10-heptadecenoate	-0.650341191
hsa-miR-329-3p	10-heptadecenoate	-0.52564714
hsa-miR-339-3p	10-heptadecenoate	-0.434187529
hsa-miR-339-5p	10-heptadecenoate	-0.522270633
hsa-miR-340-3p	10-heptadecenoate	-0.467565158
hsa-miR-345-5p	10-heptadecenoate	-0.725524217
hsa-miR-379-5p	10-heptadecenoate	-0.240921622
hsa-miR-409-3p	10-heptadecenoate	-0.402235483
hsa-miR-411-5p	10-heptadecenoate	-0.593026224
hsa-miR-432-5p	10-heptadecenoate	-0.252079289
hsa-miR-433-3p	10-heptadecenoate	-0.333414129
hsa-miR-4446-3p	10-heptadecenoate	-0.722273598
hsa-miR-4454	10-heptadecenoate	-0.508081405
hsa-miR-4677-3p	10-heptadecenoate	-0.247306135
hsa-miR-4732-3p	10-heptadecenoate	-0.563789733
hsa-miR-485-3p	10-heptadecenoate	-0.626361891
hsa-miR-493-3p	10-heptadecenoate	-0.55093112
hsa-miR-495-3p	10-heptadecenoate	-0.154124529
hsa-miR-5010-5p	10-heptadecenoate	-0.581845004
hsa-miR-505-3p	10-heptadecenoate	-0.521323985
hsa-miR-548av-5pXhsa-miR-548k	10-heptadecenoate	-0.501272518
hsa-miR-550a-3-5p	10-heptadecenoate	-0.025515503
hsa-miR-574-3p	10-heptadecenoate	-0.436679017
hsa-miR-576-5p	10-heptadecenoate	-0.324609899
hsa-miR-577	10-heptadecenoate	-0.628901602
hsa-miR-584-5p	10-heptadecenoate	-0.29787979
hsa-miR-625-3p	10-heptadecenoate	-0.398445812
hsa-miR-629-5p	10-heptadecenoate	-0.446544282
hsa-miR-654-3p	10-heptadecenoate	-0.634885625
hsa-miR-654-5p	10-heptadecenoate	-0.607504423
hsa-miR-6842-3p	10-heptadecenoate	-0.409101915
hsa-miR-766-5p	10-heptadecenoate	-0.452613073
hsa-miR-889-3p	10-heptadecenoate	-0.901555409
hsa-miR-92a-3p	10-heptadecenoate	-0.158520453
hsa-miR-99a-5p	10-heptadecenoate	0.174971806
hsa-let-7b-3p	PE(P-34:1)/PE(O-34:2)	0.700734408
hsa-let-7a-3p	10-nonadecenoate	-0.602465918
hsa-let-7c-5p	10-nonadecenoate	-0.218346096
hsa-let-7f-5p	10-nonadecenoate	-0.067266164
hsa-let-7i-5p	10-nonadecenoate	-0.170669197
hsa-miR-100-5p	10-nonadecenoate	0.170471587
hsa-miR-10399-3p	10-nonadecenoate	-0.197244504
hsa-let-7b-3p	PE(P-36:3)/PE(O-36:4)	0.684219865
hsa-miR-10399-5p	10-nonadecenoate	-0.494528927
hsa-let-7b-3p	15-HETE	0.789983564
hsa-miR-10527-5p	10-nonadecenoate	-0.429693212
hsa-miR-10a-5p	10-nonadecenoate	0.112198657
hsa-miR-10b-5p	10-nonadecenoate	0.138617817
hsa-let-7b-5p	LPE(20:0)	-0.260540171
hsa-miR-11400	10-nonadecenoate	-0.502539318
hsa-miR-1180-3p	10-nonadecenoate	-0.527721211
hsa-miR-125a-3p	10-nonadecenoate	-0.426839071
hsa-miR-1287-5p	10-nonadecenoate	-0.452906022
hsa-miR-1290	10-nonadecenoate	0.293792372
hsa-miR-1292-5p	10-nonadecenoate	-0.652875388
hsa-miR-1307-3p	10-nonadecenoate	-0.605226196
hsa-let-7b-5p	LPC(14:0)	-0.229788255
hsa-miR-130b-5p	10-nonadecenoate	-0.346691715
hsa-miR-134-5p	10-nonadecenoate	-0.637097562
hsa-miR-142-3p	10-nonadecenoate	-0.175215562
hsa-miR-1468-5p	10-nonadecenoate	-0.484865006
hsa-miR-151a-5pXhsa-miR-151b	10-nonadecenoate	-0.080091245
hsa-miR-155-5p	10-nonadecenoate	-0.381231307
hsa-miR-15b-3p	10-nonadecenoate	-0.789192523
hsa-miR-15b-5p	10-nonadecenoate	-0.549679678
hsa-miR-1843	10-nonadecenoate	-0.463869883
hsa-let-7b-5p	LPC(18:1)	-0.247207684
hsa-miR-185-5p	10-nonadecenoate	-0.240973276
hsa-miR-1908-5p	10-nonadecenoate	-0.827156765
hsa-miR-199a-3pXhsa-miR-199b-3p	10-nonadecenoate	-0.518881331
hsa-miR-199a-5p	10-nonadecenoate	-0.342983644
hsa-miR-200c-3p	10-nonadecenoate	-0.38944674
hsa-miR-21-3p	10-nonadecenoate	-0.587800646
hsa-miR-221-3p	10-nonadecenoate	-0.340043607
hsa-miR-224-5p	10-nonadecenoate	-0.346842775
hsa-miR-2355-5p	10-nonadecenoate	-0.487897736
hsa-miR-27a-5p	10-nonadecenoate	-0.349218246
hsa-miR-28-5p	10-nonadecenoate	-0.432422058
hsa-miR-29b-3p	10-nonadecenoate	-0.446590048
hsa-miR-30c-5p	10-nonadecenoate	-0.402800568
hsa-miR-30d-5p	10-nonadecenoate	-0.1340676
hsa-miR-30e-5p	10-nonadecenoate	-0.215574685
hsa-miR-323a-3p	10-nonadecenoate	-0.362490853
hsa-miR-323b-3p	10-nonadecenoate	-0.777419004
hsa-miR-326	10-nonadecenoate	-0.579138668
hsa-miR-329-3p	10-nonadecenoate	-0.531113339
hsa-miR-339-3p	10-nonadecenoate	-0.556033951
hsa-miR-339-5p	10-nonadecenoate	-0.595225591
hsa-let-7b-5p	cotinine	-0.005843315
hsa-miR-340-3p	10-nonadecenoate	-0.467027795
hsa-let-7b-5p	N-Palmitoyl Taurine	0.006391911
hsa-miR-340-5p	10-nonadecenoate	-0.465297334
hsa-miR-345-5p	10-nonadecenoate	-0.824309897
hsa-miR-361-3p	10-nonadecenoate	-0.654836207
hsa-miR-3688-3p	10-nonadecenoate	-0.422293469
hsa-miR-379-5p	10-nonadecenoate	-0.540348241
hsa-miR-409-3p	10-nonadecenoate	-0.714168318
hsa-miR-411-5p	10-nonadecenoate	-0.69008906
hsa-miR-421	10-nonadecenoate	-0.542079812
hsa-miR-425-5p	10-nonadecenoate	-0.490012776
hsa-miR-432-5p	10-nonadecenoate	-0.516225225
hsa-miR-433-3p	10-nonadecenoate	-0.497147059
hsa-miR-4446-3p	10-nonadecenoate	-0.917954894
hsa-miR-4659a-3p	10-nonadecenoate	-0.294144711
hsa-miR-4659b-3p	10-nonadecenoate	-0.225206832
