miR	contrast	estimate	std.error	statistic	adj.p.value	Cluster
hsa-miR-486-5p 	Cluster2 - 1	0.144992415	0.121913741	1.189303307	0.335105702	C1
hsa-miR-486-5p 	Cluster3 - 1	-0.274392559	0.126694392	-2.165782983	0.076348993	C1
hsa-miR-486-5p 	Cluster4 - 1	-0.118965957	0.125857119	-0.945246147	0.430922974	C1
hsa-miR-486-5p 	Cluster5 - 1	0.050877988	0.128129119	0.397083725	0.691381851	C1
hsa-miR-451a 	Cluster2 - 1	-0.172389926	0.13118636	-1.314084225	0.805530345	C1
hsa-miR-451a 	Cluster3 - 1	-0.115041812	0.136330622	-0.843844255	0.805530345	C1
hsa-miR-451a 	Cluster4 - 1	-0.053524197	0.135429667	-0.395217669	0.805530345	C1
hsa-miR-451a 	Cluster5 - 1	-0.101182741	0.137874473	-0.733875813	0.805530345	C1
hsa-miR-143-3p 	Cluster2 - 1	-0.713327482	0.106318951	-6.709316436	1.55E-10	C1
hsa-miR-143-3p 	Cluster3 - 1	0.337100137	0.110488077	3.051009166	0.003335348	C1
hsa-miR-143-3p 	Cluster4 - 1	-0.188736695	0.109757905	-1.719572679	0.107235201	C1
hsa-miR-143-3p 	Cluster5 - 1	-0.030841582	0.111739279	-0.27601379	0.782588714	C1
hsa-miR-191-5p 	Cluster2 - 1	-0.243580404	0.057533316	-4.233727902	0.000124401	C1
hsa-miR-191-5p 	Cluster3 - 1	0.02769985	0.059789392	0.463290382	0.714718684	C1
hsa-miR-191-5p 	Cluster4 - 1	-0.029464364	0.059394268	-0.496080941	0.714718684	C1
hsa-miR-191-5p 	Cluster5 - 1	-0.041577629	0.060466466	-0.687614676	0.702626753	C1
hsa-let-7f-5p 	Cluster2 - 1	0.000551078	0.083281999	0.006617016	0.994721609	C1
hsa-let-7f-5p 	Cluster3 - 1	-0.071120405	0.086547769	-0.821747414	0.580713894	C1
hsa-let-7f-5p 	Cluster4 - 1	0.057531018	0.085975809	0.669153553	0.580713894	C1
hsa-let-7f-5p 	Cluster5 - 1	-0.126465214	0.087527863	-1.444856645	0.371949055	C1
hsa-miR-146a-5p 	Cluster2 - 1	-0.137629758	0.075394846	-1.825453145	0.124676907	C1
hsa-miR-146a-5p 	Cluster3 - 1	0.139725749	0.078351334	1.783323183	0.124676907	C1
hsa-miR-146a-5p 	Cluster4 - 1	0.105034325	0.07783354	1.349473819	0.221824061	C1
hsa-miR-146a-5p 	Cluster5 - 1	-0.00296769	0.079238608	-0.037452578	0.970130867	C1
hsa-let-7a-5p 	Cluster2 - 1	-0.05282468	0.084878824	-0.622354048	0.762623663	C1
hsa-let-7a-5p 	Cluster3 - 1	-0.06127219	0.088207211	-0.694639246	0.762623663	C1
hsa-let-7a-5p 	Cluster4 - 1	0.017659627	0.087624284	0.201538047	0.919730895	C1
hsa-let-7a-5p 	Cluster5 - 1	-0.106202513	0.089206096	-1.190529768	0.762623663	C1
hsa-miR-26a-5p 	Cluster2 - 1	0.025039734	0.061501734	0.407138669	0.854980538	C1
hsa-miR-26a-5p 	Cluster3 - 1	0.108506373	0.063913426	1.697708599	0.224605789	C1
hsa-miR-26a-5p 	Cluster4 - 1	0.10884486	0.063491048	1.714333968	0.224605789	C1
hsa-miR-26a-5p 	Cluster5 - 1	-0.018097837	0.064637202	-0.27999103	0.866151572	C1
