Metabolite	Sub-Pathway	miR	Chromosome	start	end	strand	coef.Endo2.	coef.Endo3.
N-Acetyl-L-Glutamine	Glutamate	miR-101-3p	chr1	65058442	65058462	-	-0.260577637	0.336392531
DG(38:4)	DAG	miR-1290	chr1	18897078	18897096	-	-0.41923972	0.051042852
3-methyladipate	Fatty Acid	miR-1290	chr1	18897078	18897096	-	-0.181720911	0.249747335
PE(P-34:2)/PE(O-34:3)	Glycerophospholipid	miR-1290	chr1	18897078	18897096	-	-0.345006277	0.061692862
alanine	Alanine and Aspartate	miR-181a-3p	chr1	198859069	198859090	-	0.746399637	-0.37812679
docosapentaenoate	PUFA (n3 and n6)	miR-181a-3p	chr1	198859069	198859090	-	-0.366732792	0.792166704
ribothymidine	Pyrimidine	miR-181a-3p	chr1	198859069	198859090	-	0.266560791	-0.9658911
hydroxyproline	Urea cycle; Arginine and Proline	miR-181a-3p	chr1	198859069	198859090	-	0.389807041	-0.68869145
SDMA	Urea cycle; Arginine and Proline	miR-181a-3p	chr1	198859069	198859090	-	0.287724238	-0.576998237
Oxalic acid	Ascorbate and Aldarate	miR-181a-5p	chr1	198859108	198859130	-	0.176491799	-0.168228604
pantothenate	Cofactors and Vitamins	miR-181a-5p	chr1	198859108	198859130	-	0.220572249	-0.162891636
DG(36:1)	DAG	miR-181a-5p	chr1	198859108	198859130	-	-0.233848887	0.147872527
DG(36:2)	DAG	miR-181a-5p	chr1	198859108	198859130	-	-0.202669808	0.158249989
sebacate	Fatty Acid	miR-181a-5p	chr1	198859108	198859130	-	-0.379812689	0.174443951
LPE(20:4)	LPE Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.244069935	0.136369232
LPE(20:4)	LPE Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.268641373	0.150988885
TG(50:5)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.235212417	0.16383272
TG(50:6)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.239783879	0.151215603
TG(51:2)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.30981124	0.075778448
TG(53:2)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.321121332	0.075799295
TG(54:1)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.29387133	0.101908206
TG(54:2)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.290058279	0.11959857
TG(55:2)	TAG Ester	miR-181a-5p	chr1	198859108	198859130	-	-0.287093565	0.093409781
pantothenate	Cofactors and Vitamins	miR-181b-5p	chr1	198858925	198858947	-	0.337739617	-0.522380411
N-Oleoyl Taurine	Fatty Acid	miR-181b-5p	chr1	198858925	198858947	-	0.624083526	-0.403511661
sebacate	Fatty Acid	miR-181b-5p	chr1	198858925	198858947	-	-0.937804603	0.302374042
N-acetyltryptophan	Tryptophan	miR-181b-5p	chr1	198858925	198858947	-	0.627222471	-0.223581017
DG(38:4)	DAG	miR-1843	chr1	175968440	175968459	-	0.425629427	-0.68869127
LPC(P-18:0)/LPC(O-18:1)	Glycerophospholipid	miR-1843	chr1	175968440	175968459	-	0.716319524	-0.460236686
phosphocholine	Phospholipid	miR-1843	chr1	175968440	175968459	-	0.584052697	-0.397994828
15-HETE	PUFA (n3 and n6)	miR-1843	chr1	175968440	175968459	-	0.930796567	-0.188269187
DG(38:4)	DAG	miR-186-5p	chr1	71067681	71067702	-	0.493656478	-0.0468114
levulinate	Keto Acid	miR-186-5p	chr1	71067681	71067702	-	-0.469223801	0.023174923
Keto-isocaproic acid KIC / Keto-methylvalerate KMV	Leucine, Isoleucine and Valine	miR-186-5p	chr1	71067681	71067702	-	0.349811619	-0.034668289
LPE(18:0)_B	LPE Ester	miR-186-5p	chr1	71067681	71067702	-	-0.467415912	0.006748992
PE(40:6)	PE Ester	miR-186-5p	chr1	71067681	71067702	-	0.434247476	-0.053209387
serotonin	Tryptophan	miR-186-5p	chr1	71067681	71067702	-	-0.372719687	0.02851313
metronidazole	Xenobiotic	miR-186-5p	chr1	71067681	71067702	-	-0.47815868	0.033453392
Adipic acid	Xenobiotic	miR-186-5p	chr1	71067681	71067702	-	-0.410026073	0.043188782
Cholic acid	Bile Acid	miR-194-5p	chr1	220118206	220118227	-	0.694911572	-0.417543332
chenodeoxycholate	Bile Acid	miR-194-5p	chr1	220118206	220118227	-	0.402112882	-0.524324727
uridine	Pyrimidine	miR-194-5p	chr1	220118206	220118227	-	-0.478915233	0.593658963
a-Ketoglutaric acid	TCA Cycle	miR-197-3p	chr1	109598940	109598961	+	-0.767167518	0.270962306
Adipic acid	Xenobiotic	miR-197-3p	chr1	109598940	109598961	+	-0.795782021	0.04482496
10-HDoHE/14-HDoHE	PUFA (n3 and n6)	miR-199a-3pXmiR-199b-3p	chr1	172144554	172144575	-	0.852379493	-0.071587791
1-methylguanine	Purine	miR-199a-3pXmiR-199b-3p	chr1	172144554	172144575	-	-0.654780594	0.086188876
uridine	Pyrimidine	miR-199a-3pXmiR-199b-3p	chr1	172144554	172144575	-	-0.426617581	0.395689303
Indole-3-propanoic acid	Tryptophan	miR-199a-3pXmiR-199b-3p	chr1	172144554	172144575	-	0.250345213	-0.357208278
N-Oleoyl Taurine	Fatty Acid	miR-199a-5p	chr1	172144592	172144614	-	0.476455891	-0.108005423
glycine	Glycine, Serine and Threonine	miR-199a-5p	chr1	172144592	172144614	-	0.630005522	-0.060728811
xanthosine	NA	miR-199a-5p	chr1	172144592	172144614	-	0.525224042	-0.182627207
10-HDoHE/14-HDoHE	PUFA (n3 and n6)	miR-199a-5p	chr1	172144592	172144614	-	0.764371381	-0.087225483
Arachidonic acid	PUFA (n3 and n6)	miR-199a-5p	chr1	172144592	172144614	-	0.629562249	-0.064718066
HETE	PUFA (n3 and n6)	miR-199a-5p	chr1	172144592	172144614	-	0.538281826	-0.182010962
Xanthosine	Purine	miR-199a-5p	chr1	172144592	172144614	-	0.666844045	-0.284283787
heptadecanoate	Saturated Fatty Acid	miR-199a-5p	chr1	172144592	172144614	-	-0.445771037	0.110620537
stearate	Saturated Fatty Acid	miR-199a-5p	chr1	172144592	172144614	-	-0.458472975	0.196559875
N-Docosanoyl Taurine	Fatty Acid	miR-200b-3p	chr1	1167160	1167181	+	0.41660551	-0.536120593
PE(P-34:1)/PE(O-34:2)	Glycerophospholipid	miR-205-5p	chr1	209432166	209432187	+	0.666599034	-0.310122624
PE(P-34:2)/PE(O-34:3)	Glycerophospholipid	miR-205-5p	chr1	209432166	209432187	+	0.548017919	-0.277826032
PE(P-34:2)/PE(O-34:3)	Glycerophospholipid	miR-205-5p	chr1	209432166	209432187	+	0.529007145	-0.294408614
Glucose/Fructose/Galactose_waterloss	Glycolysis, Gluconeogenesis, and Pyruvate	miR-214-3p	chr1	172138816	172138837	-	-0.756395541	0.175314119
ectoine	NA	miR-215-5p	chr1	220117916	220117936	-	-0.221279996	0.319485509
xanthosine	NA	miR-215-5p	chr1	220117916	220117936	-	0.540078897	-0.133829747
1-methylguanine	Purine	miR-215-5p	chr1	220117916	220117936	-	-0.602595685	0.077164878
AMP	Purine	miR-215-5p	chr1	220117916	220117936	-	0.405470914	-0.184288688
Xanthosine	Purine	miR-215-5p	chr1	220117916	220117936	-	0.659383665	-0.198039558
Adipic acid	Xenobiotic	miR-215-5p	chr1	220117916	220117936	-	-0.509295837	0.162229763
1-methylhistamine	Histidine	miR-29b-3p	chr1	207802450	207802472	-	-0.532746685	0.545381055
nonadecanoate	Saturated Fatty Acid	miR-29b-3p	chr1	207802450	207802472	-	-0.592115499	0.458048216
stearate	Saturated Fatty Acid	miR-29b-3p	chr1	207802450	207802472	-	-0.69113471	0.471402907
myristoleic acid	Monounsaturated Fatty Acid	miR-29c-3p	chr1	207801865	207801886	-	0.81361164	-0.264500686
uridine	Pyrimidine	miR-29c-3p	chr1	207801865	207801886	-	-0.546235641	0.314572899
16-hydroxypalmitate	Fatty Acid	miR-30c-5p	chr1	40757300	40757322	+	-0.750141351	0.036992053
PE(38:4)	PE Ester	miR-30c-5p	chr1	40757300	40757322	+	-0.179849016	0.480966568
arachidate	Saturated Fatty Acid	miR-30c-5p	chr1	40757300	40757322	+	-0.440806607	0.165968026
heptadecanoate	Saturated Fatty Acid	miR-30c-5p	chr1	40757300	40757322	+	-0.3290454	0.24093469
